id_ticket,id_tienda,timestamp,total_venta,total_articulos,id_cliente
TICKET_0000061,STORE_01,2024-02-15 12:09:00,14.61,1,CUST_00047
TICKET_0000062,STORE_09,2024-02-06 20:09:00,29.86,3,CUST_00126
TICKET_0000063,STORE_03,2024-03-08 17:39:00,8.96,1,CUST_00553
TICKET_0000064,STORE_06,2024-03-20 10:51:00,22.15,3,CUST_00688
TICKET_0000065,STORE_05,2024-01-23 19:30:00,54.37,5,CUST_00104
TICKET_0000066,STORE_03,2024-01-29 13:43:00,2.38,1,CUST_00709
TICKET_0000067,STORE_06,2024-02-24 16:15:00,4.43,1,CUST_00442
TICKET_0000068,STORE_09,2024-03-06 08:06:00,14.01,1,CUST_00774
TICKET_0000069,STORE_03,2024-01-05 21:07:00,15.94,3,CUST_00629
TICKET_0000070,STORE_08,2024-02-27 08:50:00,25.55,2,CUST_00766
TICKET_0000071,STORE_03,2024-03-07 18:05:00,18.75,2,CUST_00831
TICKET_0000072,STORE_01,2024-01-03 18:12:00,8.88,2,CUST_00298
TICKET_0000073,STORE_06,2024-01-09 10:08:00,22.89,3,CUST_00553
TICKET_0000074,STORE_01,2024-03-27 21:55:00,22.86,4,CUST_00057
TICKET_0000075,STORE_07,2024-03-22 17:01:00,21.93,2,CUST_00067
TICKET_0000076,STORE_05,2024-01-19 17:41:00,31.58,4,CUST_00890
TICKET_0000077,STORE_09,2024-01-15 21:14:00,34.68,5,CUST_00350
TICKET_0000078,STORE_03,2024-03-10 18:42:00,6.18,1,CUST_00106
TICKET_0000079,STORE_01,2024-01-22 12:36:00,16.51,3,CUST_00149
TICKET_0000080,STORE_01,2024-02-03 14:22:00,6.78,1,CUST_00403
TICKET_0000081,STORE_07,2024-02-13 07:18:00,13.49,2,CUST_00834
TICKET_0000082,STORE_09,2024-03-07 14:49:00,6.11,1,CUST_00805
TICKET_0000083,STORE_05,2024-01-07 12:00:00,17.91,2,CUST_00781
TICKET_0000084,STORE_02,2024-03-11 21:27:00,15.56,2,CUST_00311
TICKET_0000085,STORE_01,2024-01-21 12:13:00,12.4,1,CUST_00400
TICKET_0000086,STORE_04,2024-02-05 19:17:00,2.59,1,CUST_00333
TICKET_0000087,STORE_03,2024-02-24 07:25:00,2.24,1,CUST_00393
TICKET_0000088,STORE_01,2024-03-28 19:22:00,14.28,1,CUST_00106
TICKET_0000089,STORE_03,2024-01-10 16:51:00,7.07,1,CUST_00466
TICKET_0000090,STORE_01,2024-01-20 11:27:00,12.27,2,CUST_00305
TICKET_0000091,STORE_05,2024-01-19 18:22:00,9.18,1,CUST_00495
TICKET_0000092,STORE_09,2024-01-16 09:03:00,36.47,4,CUST_00698
TICKET_0000093,STORE_05,2024-01-19 08:00:00,19.8,2,CUST_00049
TICKET_0000094,STORE_10,2024-02-28 12:57:00,36.35,4,CUST_00870
TICKET_0000095,STORE_03,2024-03-25 21:13:00,15.22,1,CUST_00626
TICKET_0000096,STORE_07,2024-02-03 08:26:00,19.18,2,CUST_00768
TICKET_0000097,STORE_07,2024-01-01 19:15:00,36.8,4,CUST_00291
TICKET_0000098,STORE_06,2024-02-06 21:58:00,20.87,3,CUST_00595
TICKET_0000099,STORE_01,2024-02-17 14:07:00,4.41,1,CUST_00161
TICKET_0000100,STORE_02,2024-02-23 17:03:00,14.12,2,CUST_00427
TICKET_0000101,STORE_03,2024-02-24 10:24:00,12.83,1,CUST_00231
TICKET_0000102,STORE_03,2024-02-22 12:59:00,5.05,1,CUST_00854
TICKET_0000103,STORE_10,2024-02-20 12:12:00,7.87,1,CUST_00523
TICKET_0000104,STORE_01,2024-02-14 15:40:00,7.18,1,CUST_00451
TICKET_0000105,STORE_07,2024-01-18 18:21:00,28.78,4,CUST_00059
TICKET_0000106,STORE_07,2024-03-28 08:29:00,46.68,6,CUST_00747
TICKET_0000107,STORE_09,2024-03-17 19:56:00,14.22,1,CUST_00159
TICKET_0000108,STORE_10,2024-01-26 18:26:00,27.51,2,CUST_00943
TICKET_0000109,STORE_01,2024-01-14 09:11:00,24.88,4,CUST_00831
TICKET_0000110,STORE_02,2024-03-30 07:39:00,9.09,1,CUST_00835
TICKET_0000111,STORE_05,2024-01-11 13:39:00,10.49,2,CUST_00910
TICKET_0000112,STORE_05,2024-03-28 16:01:00,35.03,3,CUST_00228
TICKET_0000113,STORE_04,2024-01-07 07:54:00,19.0,2,CUST_00788
TICKET_0000114,STORE_08,2024-03-23 15:52:00,28.62,3,CUST_00748
TICKET_0000115,STORE_04,2024-03-13 16:58:00,9.04,2,CUST_00670
TICKET_0000116,STORE_04,2024-02-05 15:21:00,23.93,2,CUST_00351
TICKET_0000117,STORE_06,2024-02-07 18:57:00,15.27,3,CUST_00642
TICKET_0000118,STORE_03,2024-01-29 13:09:00,2.92,1,CUST_00905
TICKET_0000119,STORE_05,2024-03-07 08:09:00,13.74,1,CUST_00590
TICKET_0000120,STORE_09,2024-03-31 11:50:00,14.12,2,CUST_00686
TICKET_0000121,STORE_06,2024-02-03 09:20:00,16.73,2,CUST_00624
TICKET_0000122,STORE_09,2024-03-13 19:52:00,7.32,1,CUST_00966
TICKET_0000123,STORE_07,2024-01-14 11:24:00,15.46,2,CUST_00165
TICKET_0000124,STORE_03,2024-03-02 18:57:00,7.93,1,CUST_00417
TICKET_0000125,STORE_03,2024-02-23 17:09:00,5.27,1,CUST_00563
TICKET_0000126,STORE_03,2024-01-20 20:33:00,13.52,1,CUST_00480
TICKET_0000127,STORE_03,2024-03-30 11:14:00,7.46,1,CUST_00079
TICKET_0000128,STORE_08,2024-03-14 20:14:00,8.58,1,CUST_00670
TICKET_0000129,STORE_01,2024-01-29 20:20:00,16.01,2,CUST_00801
TICKET_0000130,STORE_07,2024-03-11 18:38:00,15.49,2,CUST_00110
TICKET_0000131,STORE_06,2024-01-26 09:31:00,5.9,1,CUST_00452
TICKET_0000132,STORE_04,2024-01-12 13:49:00,13.99,3,CUST_00069
TICKET_0000133,STORE_07,2024-02-22 08:14:00,11.77,1,CUST_00035
TICKET_0000134,STORE_05,2024-01-18 14:32:00,13.79,3,CUST_00458
TICKET_0000135,STORE_02,2024-03-09 10:28:00,25.75,4,CUST_00317
TICKET_0000136,STORE_02,2024-02-18 07:44:00,39.23,3,CUST_00265
TICKET_0000137,STORE_02,2024-02-19 10:39:00,33.24,4,CUST_00594
TICKET_0000138,STORE_03,2024-01-09 19:06:00,16.81,2,CUST_00537
TICKET_0000139,STORE_04,2024-01-25 12:16:00,21.48,2,CUST_00105
TICKET_0000140,STORE_01,2024-02-22 10:34:00,34.86,4,CUST_00367
TICKET_0000141,STORE_08,2024-02-29 09:54:00,15.74,2,CUST_00062
TICKET_0000142,STORE_10,2024-03-05 21:41:00,15.74,3,CUST_00568
TICKET_0000143,STORE_04,2024-01-20 10:22:00,25.8,3,CUST_00745
TICKET_0000144,STORE_04,2024-02-27 17:35:00,2.5,1,CUST_00848
TICKET_0000145,STORE_03,2024-03-24 15:24:00,17.49,2,CUST_00276
TICKET_0000146,STORE_01,2024-03-22 11:59:00,12.19,2,CUST_00336
TICKET_0000147,STORE_06,2024-02-20 07:38:00,7.05,2,CUST_00801
TICKET_0000148,STORE_01,2024-02-16 14:41:00,9.31,1,CUST_00055
TICKET_0000149,STORE_10,2024-01-21 20:42:00,20.66,2,CUST_00097
TICKET_0000150,STORE_07,2024-03-31 17:56:00,9.48,2,CUST_00119
TICKET_0000151,STORE_09,2024-03-27 12:25:00,20.0,2,CUST_00859
TICKET_0000152,STORE_05,2024-01-31 18:03:00,29.41,4,CUST_00536
TICKET_0000153,STORE_09,2024-01-16 12:34:00,19.19,3,CUST_00901
TICKET_0000154,STORE_05,2024-01-29 09:56:00,19.67,2,CUST_00099
TICKET_0000155,STORE_09,2024-03-25 14:56:00,20.72,3,CUST_00919
TICKET_0000156,STORE_02,2024-02-15 12:36:00,38.98,5,CUST_00183
TICKET_0000157,STORE_05,2024-01-10 18:17:00,33.74,3,CUST_00573
TICKET_0000158,STORE_02,2024-02-27 21:05:00,11.5,1,CUST_00786
TICKET_0000159,STORE_09,2024-01-18 12:06:00,17.48,2,CUST_00524
TICKET_0000160,STORE_04,2024-02-13 17:31:00,8.94,1,CUST_00919
TICKET_0000161,STORE_02,2024-02-08 19:09:00,23.32,2,CUST_00245
TICKET_0000162,STORE_01,2024-02-14 08:43:00,15.02,1,CUST_00737
TICKET_0000163,STORE_09,2024-03-30 18:49:00,28.01,2,CUST_00621
TICKET_0000164,STORE_04,2024-01-12 12:32:00,5.7,2,CUST_00124
TICKET_0000165,STORE_01,2024-02-15 20:03:00,10.82,2,CUST_00185
TICKET_0000166,STORE_07,2024-02-09 20:38:00,16.48,2,CUST_00252
TICKET_0000167,STORE_03,2024-01-26 12:04:00,16.62,4,CUST_00853
TICKET_0000168,STORE_07,2024-03-18 12:47:00,21.41,2,CUST_00423
TICKET_0000169,STORE_09,2024-03-20 19:32:00,3.51,1,CUST_00943
TICKET_0000170,STORE_08,2024-01-23 11:36:00,12.0,1,CUST_00635
TICKET_0000171,STORE_05,2024-01-25 07:45:00,31.95,5,CUST_00844
TICKET_0000172,STORE_07,2024-03-25 10:33:00,38.25,4,CUST_00817
TICKET_0000173,STORE_01,2024-01-04 15:35:00,20.1,2,CUST_00034
TICKET_0000174,STORE_10,2024-02-21 08:56:00,4.56,1,CUST_00833
TICKET_0000175,STORE_03,2024-02-12 21:03:00,13.61,1,CUST_00668
TICKET_0000176,STORE_04,2024-01-17 16:44:00,7.0,2,CUST_00613
TICKET_0000177,STORE_02,2024-02-11 20:25:00,12.29,1,CUST_00364
TICKET_0000178,STORE_01,2024-01-12 08:50:00,3.01,1,CUST_00759
TICKET_0000179,STORE_03,2024-03-23 10:01:00,18.66,2,CUST_00690
TICKET_0000180,STORE_09,2024-03-14 19:47:00,6.87,2,CUST_00247
TICKET_0000181,STORE_02,2024-02-06 20:53:00,34.21,3,CUST_00220
TICKET_0000182,STORE_08,2024-02-22 13:27:00,13.11,1,CUST_00379
TICKET_0000183,STORE_05,2024-01-15 15:04:00,7.34,2,CUST_00921
TICKET_0000184,STORE_01,2024-02-20 10:20:00,25.16,4,CUST_00441
TICKET_0000185,STORE_09,2024-02-07 16:29:00,11.94,2,CUST_00442
TICKET_0000186,STORE_02,2024-03-21 09:10:00,16.31,2,CUST_00358
TICKET_0000187,STORE_04,2024-03-11 07:13:00,5.8,1,CUST_00719
TICKET_0000188,STORE_07,2024-01-10 07:22:00,22.44,2,CUST_00839
TICKET_0000189,STORE_05,2024-02-11 17:06:00,22.68,2,CUST_00398
TICKET_0000190,STORE_07,2024-02-19 14:01:00,13.36,2,CUST_00771
TICKET_0000191,STORE_06,2024-02-06 16:29:00,13.89,2,CUST_00190
TICKET_0000192,STORE_07,2024-01-07 18:44:00,34.03,5,CUST_00260
TICKET_0000193,STORE_08,2024-03-23 07:26:00,13.84,2,CUST_00360
TICKET_0000194,STORE_02,2024-03-25 08:18:00,29.94,3,CUST_00788
TICKET_0000195,STORE_08,2024-02-03 21:18:00,22.74,3,CUST_00082
TICKET_0000196,STORE_01,2024-02-25 16:48:00,4.39,1,CUST_00557
TICKET_0000197,STORE_01,2024-02-03 07:14:00,19.89,3,CUST_00662
TICKET_0000198,STORE_05,2024-03-08 10:46:00,26.38,3,CUST_00317
TICKET_0000199,STORE_10,2024-02-16 20:36:00,16.87,2,CUST_00685
TICKET_0000200,STORE_02,2024-01-20 20:02:00,10.55,2,CUST_00347
TICKET_0000201,STORE_10,2024-03-01 12:21:00,16.1,2,CUST_00732
TICKET_0000202,STORE_08,2024-02-09 10:12:00,9.44,2,CUST_00580
TICKET_0000203,STORE_01,2024-03-23 21:05:00,9.23,2,CUST_00010
TICKET_0000204,STORE_02,2024-03-02 17:39:00,30.15,4,CUST_00817
TICKET_0000205,STORE_05,2024-03-12 14:00:00,3.36,1,CUST_00417
TICKET_0000206,STORE_04,2024-01-13 10:21:00,15.38,2,CUST_00907
TICKET_0000207,STORE_03,2024-03-02 17:28:00,15.87,4,CUST_00842
TICKET_0000208,STORE_05,2024-02-29 10:30:00,28.01,4,CUST_00977
TICKET_0000209,STORE_07,2024-02-12 18:32:00,27.23,5,CUST_00884
TICKET_0000210,STORE_05,2024-01-15 09:47:00,12.86,2,CUST_00677
TICKET_0000211,STORE_09,2024-03-30 21:58:00,15.7,3,CUST_00140
TICKET_0000212,STORE_09,2024-01-19 18:03:00,13.02,2,CUST_00769
TICKET_0000213,STORE_05,2024-02-26 21:23:00,4.46,1,CUST_00855
TICKET_0000214,STORE_09,2024-03-31 18:36:00,14.25,3,CUST_00924
TICKET_0000215,STORE_05,2024-03-09 19:18:00,32.15,3,CUST_00037
TICKET_0000216,STORE_08,2024-03-27 12:42:00,9.59,1,CUST_00720
TICKET_0000217,STORE_10,2024-03-30 20:33:00,21.88,2,CUST_00452
TICKET_0000218,STORE_03,2024-01-23 16:59:00,16.01,2,CUST_00082
TICKET_0000219,STORE_07,2024-01-24 16:45:00,25.64,4,CUST_00620
TICKET_0000220,STORE_07,2024-03-04 14:30:00,19.02,2,CUST_00555
TICKET_0000221,STORE_04,2024-02-21 18:06:00,9.52,1,CUST_00178
TICKET_0000222,STORE_05,2024-01-31 21:11:00,21.52,4,CUST_00261
TICKET_0000223,STORE_09,2024-02-12 17:57:00,20.76,2,CUST_00329
TICKET_0000224,STORE_03,2024-02-15 16:06:00,21.76,2,CUST_00896
TICKET_0000225,STORE_03,2024-03-16 11:58:00,24.74,5,CUST_00756
TICKET_0000226,STORE_04,2024-03-20 21:19:00,11.9,1,CUST_00403
TICKET_0000227,STORE_05,2024-03-06 12:13:00,10.89,2,CUST_00609
TICKET_0000228,STORE_05,2024-01-29 15:07:00,38.14,3,CUST_00591
TICKET_0000229,STORE_05,2024-02-09 20:02:00,21.98,3,CUST_00533
TICKET_0000230,STORE_01,2024-02-08 18:17:00,9.65,1,CUST_00139
TICKET_0000231,STORE_04,2024-03-17 15:52:00,32.48,3,CUST_00073
TICKET_0000232,STORE_07,2024-01-17 19:41:00,5.61,1,CUST_00996
TICKET_0000233,STORE_06,2024-01-25 08:14:00,43.9,4,CUST_00266
TICKET_0000234,STORE_05,2024-02-29 20:11:00,9.75,1,CUST_01000
TICKET_0000235,STORE_04,2024-01-02 10:35:00,11.51,2,CUST_00818
TICKET_0000236,STORE_09,2024-01-05 21:20:00,6.04,1,CUST_00413
TICKET_0000237,STORE_07,2024-01-28 18:26:00,35.12,5,CUST_00377
TICKET_0000238,STORE_03,2024-02-25 07:45:00,12.36,2,CUST_00958
TICKET_0000239,STORE_05,2024-03-16 16:23:00,40.86,5,CUST_00899
TICKET_0000240,STORE_09,2024-02-23 08:54:00,40.1,4,CUST_00283
TICKET_0000241,STORE_10,2024-03-12 10:32:00,8.06,1,CUST_00622
TICKET_0000242,STORE_02,2024-03-01 16:35:00,5.09,1,CUST_00893
TICKET_0000243,STORE_01,2024-01-07 16:31:00,31.55,3,CUST_00036
TICKET_0000244,STORE_10,2024-03-21 20:03:00,20.92,4,CUST_00987
TICKET_0000245,STORE_02,2024-01-03 11:46:00,5.11,2,CUST_00821
TICKET_0000246,STORE_01,2024-01-23 07:15:00,21.92,2,CUST_00766
TICKET_0000247,STORE_06,2024-02-19 12:49:00,4.5,1,CUST_00986
TICKET_0000248,STORE_03,2024-02-28 07:22:00,21.08,2,CUST_00931
TICKET_0000249,STORE_01,2024-03-28 14:34:00,4.26,1,CUST_00482
TICKET_0000250,STORE_07,2024-03-11 14:41:00,31.87,3,CUST_00952
TICKET_0000251,STORE_10,2024-03-24 19:30:00,10.38,1,CUST_00429
TICKET_0000252,STORE_03,2024-02-07 11:41:00,26.92,3,CUST_00470
TICKET_0000253,STORE_04,2024-02-01 21:23:00,14.8,2,CUST_00627
TICKET_0000254,STORE_04,2024-03-09 07:12:00,3.08,1,CUST_00087
TICKET_0000255,STORE_08,2024-03-03 17:57:00,12.47,2,CUST_00475
TICKET_0000256,STORE_05,2024-02-15 15:58:00,35.26,4,CUST_00416
TICKET_0000257,STORE_06,2024-03-05 14:16:00,3.08,1,CUST_00216
TICKET_0000258,STORE_02,2024-01-15 18:39:00,23.8,2,CUST_00812
TICKET_0000259,STORE_07,2024-03-25 13:46:00,14.09,1,CUST_00216
TICKET_0000260,STORE_10,2024-02-27 13:33:00,13.45,2,CUST_00867
TICKET_0000261,STORE_07,2024-02-14 07:59:00,37.33,4,CUST_00508
TICKET_0000262,STORE_06,2024-02-19 17:16:00,45.6,5,CUST_00314
TICKET_0000263,STORE_09,2024-02-08 16:18:00,18.07,3,CUST_00754
TICKET_0000264,STORE_04,2024-02-01 12:02:00,8.7,1,CUST_00808
TICKET_0000265,STORE_05,2024-02-15 13:17:00,39.44,4,CUST_00817
TICKET_0000266,STORE_06,2024-03-06 10:17:00,10.21,2,CUST_00657
TICKET_0000267,STORE_04,2024-01-09 16:03:00,12.15,1,CUST_00288
TICKET_0000268,STORE_09,2024-01-10 11:49:00,21.31,3,CUST_00264
TICKET_0000269,STORE_01,2024-01-15 17:53:00,8.65,1,CUST_00995
TICKET_0000270,STORE_05,2024-02-28 20:38:00,5.01,2,CUST_00549
TICKET_0000271,STORE_07,2024-01-06 21:05:00,31.59,3,CUST_00277
TICKET_0000272,STORE_02,2024-02-01 18:49:00,13.63,2,CUST_00630
TICKET_0000273,STORE_05,2024-02-23 08:19:00,7.11,1,CUST_00575
TICKET_0000274,STORE_09,2024-02-27 11:44:00,4.22,1,CUST_00567
TICKET_0000275,STORE_03,2024-03-15 07:20:00,30.69,3,CUST_00476
TICKET_0000276,STORE_05,2024-03-08 08:49:00,16.71,2,CUST_00032
TICKET_0000277,STORE_09,2024-03-08 11:15:00,18.31,2,CUST_00422
TICKET_0000278,STORE_04,2024-01-03 08:07:00,13.61,1,CUST_00628
TICKET_0000279,STORE_04,2024-02-02 17:17:00,33.69,3,CUST_00428
TICKET_0000280,STORE_08,2024-01-04 08:36:00,33.2,3,CUST_00125
TICKET_0000281,STORE_03,2024-02-24 11:17:00,17.63,3,CUST_00114
TICKET_0000282,STORE_02,2024-01-12 18:18:00,7.06,1,CUST_00766
TICKET_0000283,STORE_08,2024-01-29 19:18:00,6.67,1,CUST_00347
TICKET_0000284,STORE_03,2024-02-01 12:43:00,38.04,5,CUST_00979
TICKET_0000285,STORE_03,2024-02-09 11:24:00,19.95,2,CUST_00260
TICKET_0000286,STORE_01,2024-02-14 19:28:00,12.02,2,CUST_00116
TICKET_0000287,STORE_10,2024-02-15 13:48:00,10.05,1,CUST_00731
TICKET_0000288,STORE_07,2024-03-07 15:43:00,13.89,1,CUST_00171
TICKET_0000289,STORE_09,2024-03-12 15:52:00,19.44,2,CUST_00503
TICKET_0000290,STORE_05,2024-01-15 10:02:00,23.23,2,CUST_00156
TICKET_0000291,STORE_05,2024-02-10 11:18:00,25.86,4,CUST_00075
TICKET_0000292,STORE_06,2024-02-17 17:13:00,36.36,4,CUST_00811
TICKET_0000293,STORE_04,2024-02-28 08:52:00,28.22,3,CUST_00294
TICKET_0000294,STORE_01,2024-01-28 09:36:00,14.25,1,CUST_00347
TICKET_0000295,STORE_06,2024-02-09 16:22:00,9.23,1,CUST_00698
TICKET_0000296,STORE_07,2024-03-29 18:54:00,46.33,6,CUST_00726
TICKET_0000297,STORE_09,2024-03-02 17:56:00,42.05,4,CUST_00842
TICKET_0000298,STORE_08,2024-03-09 21:59:00,43.55,5,CUST_00377
TICKET_0000299,STORE_09,2024-02-12 13:15:00,14.11,1,CUST_00968
TICKET_0000300,STORE_05,2024-02-14 13:52:00,6.11,1,CUST_00272
TICKET_0000301,STORE_02,2024-03-28 21:44:00,5.93,1,CUST_00205
TICKET_0000302,STORE_02,2024-03-28 20:30:00,32.98,4,CUST_00420
TICKET_0000303,STORE_04,2024-01-16 16:41:00,8.91,1,CUST_00460
TICKET_0000304,STORE_02,2024-03-26 21:52:00,12.62,2,CUST_00232
TICKET_0000305,STORE_07,2024-02-24 07:20:00,13.93,2,CUST_00916
TICKET_0000306,STORE_07,2024-01-05 13:28:00,26.66,4,CUST_00297
TICKET_0000307,STORE_08,2024-01-24 16:48:00,22.32,2,CUST_00038
TICKET_0000308,STORE_04,2024-01-04 08:45:00,16.39,2,CUST_00002
TICKET_0000309,STORE_06,2024-03-27 17:28:00,18.04,3,CUST_00113
TICKET_0000310,STORE_02,2024-03-18 20:04:00,7.83,1,CUST_00670
TICKET_0000311,STORE_08,2024-02-04 07:13:00,19.02,3,CUST_00916
TICKET_0000312,STORE_09,2024-03-23 15:05:00,9.8,2,CUST_00158
TICKET_0000313,STORE_05,2024-02-25 08:55:00,7.07,2,CUST_00319
TICKET_0000314,STORE_07,2024-03-02 13:24:00,12.42,4,CUST_00932
TICKET_0000315,STORE_08,2024-02-27 12:29:00,18.09,3,CUST_00314
TICKET_0000316,STORE_09,2024-03-12 14:28:00,22.28,2,CUST_00010
TICKET_0000317,STORE_01,2024-03-12 19:53:00,9.98,1,CUST_00184
TICKET_0000318,STORE_02,2024-03-27 10:24:00,19.25,2,CUST_00662
TICKET_0000319,STORE_06,2024-03-10 09:51:00,41.53,5,CUST_00977
TICKET_0000320,STORE_09,2024-01-23 07:34:00,16.46,2,CUST_00556
TICKET_0000321,STORE_01,2024-01-22 14:55:00,12.58,1,CUST_00237
TICKET_0000322,STORE_10,2024-01-31 13:16:00,7.16,1,CUST_00831
TICKET_0000323,STORE_09,2024-02-04 19:36:00,14.64,2,CUST_00388
TICKET_0000324,STORE_06,2024-01-19 08:05:00,10.36,3,CUST_00698
TICKET_0000325,STORE_04,2024-03-16 07:44:00,20.34,2,CUST_00210
TICKET_0000326,STORE_04,2024-02-27 10:30:00,6.3,1,CUST_00486
TICKET_0000327,STORE_02,2024-01-16 20:40:00,16.74,2,CUST_00289
TICKET_0000328,STORE_05,2024-03-30 17:48:00,18.62,3,CUST_00883
TICKET_0000329,STORE_05,2024-02-03 11:38:00,16.03,2,CUST_00588
TICKET_0000330,STORE_02,2024-03-30 08:11:00,19.82,2,CUST_00258
TICKET_0000331,STORE_09,2024-02-26 08:35:00,14.98,2,CUST_00342
TICKET_0000332,STORE_02,2024-01-09 15:07:00,22.66,3,CUST_00615
TICKET_0000333,STORE_04,2024-02-02 15:33:00,5.68,1,CUST_00686
TICKET_0000334,STORE_08,2024-03-01 18:25:00,27.78,3,CUST_00688
TICKET_0000335,STORE_04,2024-02-28 18:39:00,3.04,1,CUST_00492
TICKET_0000336,STORE_05,2024-03-21 19:09:00,11.48,2,CUST_00036
TICKET_0000337,STORE_10,2024-01-26 11:12:00,15.84,2,CUST_00800
TICKET_0000338,STORE_04,2024-01-17 15:17:00,19.51,2,CUST_00983
TICKET_0000339,STORE_09,2024-01-07 19:37:00,17.06,3,CUST_00798
