id_cliente,fecha_registro,edad,segmento
CUST_00149,2022-06-22,61,Premium
CUST_00150,2022-03-21,22,Budget
CUST_00151,2022-08-17,32,Regular
CUST_00152,2023-06-16,20,Budget
CUST_00153,2022-08-21,24,Budget
CUST_00154,2023-02-19,24,Budget
CUST_00155,2023-10-18,32,Premium
CUST_00156,2022-01-12,32,Regular
CUST_00157,2022-12-24,45,Premium
CUST_00158,2023-01-08,49,Regular
CUST_00159,2023-11-07,21,Budget
CUST_00160,2022-02-10,49,Regular
CUST_00161,2023-05-17,20,Budget
CUST_00162,2023-12-25,18,Budget
CUST_00163,2023-07-12,69,Regular
CUST_00164,2023-08-17,23,Budget
CUST_00165,2023-03-26,26,Regular
CUST_00166,2022-08-30,23,Budget
CUST_00167,2022-04-29,26,Regular
CUST_00168,2022-05-26,22,Regular
CUST_00169,2022-10-09,40,Premium
CUST_00170,2023-11-20,43,Regular
CUST_00171,2022-04-15,63,Premium
CUST_00172,2023-02-09,22,Regular
CUST_00173,2023-04-21,23,Budget
CUST_00174,2023-10-07,60,Premium
CUST_00175,2023-07-19,52,Premium
CUST_00176,2022-03-24,39,Premium
CUST_00177,2023-04-02,23,Budget
CUST_00178,2023-11-16,20,Budget
CUST_00179,2023-05-03,22,Regular
CUST_00180,2022-04-05,49,Regular
CUST_00181,2022-09-07,19,Budget
CUST_00182,2022-11-02,24,Regular
CUST_00183,2023-02-05,34,Premium
CUST_00184,2022-07-26,24,Budget
CUST_00185,2023-08-01,35,Regular
CUST_00186,2022-11-02,63,Premium
CUST_00187,2022-12-01,51,Regular
CUST_00188,2022-11-04,55,Regular
CUST_00189,2022-12-01,54,Regular
CUST_00190,2023-07-17,63,Regular
CUST_00191,2022-05-18,50,Regular
CUST_00192,2023-05-23,39,Premium
CUST_00193,2023-06-30,22,Budget
CUST_00194,2022-07-24,23,Regular
CUST_00195,2022-04-21,20,Budget
CUST_00196,2022-04-05,24,Budget
CUST_00197,2023-06-04,37,Regular
CUST_00198,2023-11-27,21,Budget
CUST_00199,2022-07-14,53,Regular
CUST_00200,2022-03-02,53,Regular
CUST_00201,2022-01-05,20,Budget
CUST_00202,2023-06-18,63,Regular
CUST_00203,2023-10-07,18,Budget
CUST_00204,2022-02-15,47,Regular
CUST_00205,2023-12-31,35,Regular
CUST_00206,2022-09-06,30,Regular
CUST_00207,2022-08-27,43,Regular
CUST_00208,2022-02-17,64,Regular
CUST_00209,2022-09-14,19,Budget
CUST_00210,2022-09-10,20,Budget
CUST_00211,2023-06-10,51,Premium
CUST_00212,2022-03-19,44,Regular
CUST_00213,2023-10-28,66,Regular
CUST_00214,2022-01-07,25,Budget
CUST_00215,2022-12-29,44,Regular
CUST_00216,2022-10-01,66,Regular
CUST_00217,2022-01-15,56,Regular
CUST_00218,2023-04-30,24,Budget
CUST_00219,2022-09-30,24,Budget
CUST_00220,2022-05-06,19,Budget
CUST_00221,2023-06-09,18,Budget
CUST_00222,2023-01-29,25,Regular
CUST_00223,2022-05-26,66,Regular
CUST_00224,2023-04-15,24,Budget
CUST_00225,2023-01-04,29,Regular
CUST_00226,2023-03-01,63,Regular
CUST_00227,2022-11-16,47,Regular
CUST_00228,2023-01-12,66,Regular
CUST_00229,2022-10-04,23,Budget
CUST_00230,2023-09-16,24,Budget
CUST_00231,2023-03-22,20,Budget
CUST_00232,2023-10-26,24,Budget
CUST_00233,2022-08-31,32,Premium
CUST_00234,2023-07-02,22,Budget
CUST_00235,2022-11-18,35,Premium
CUST_00236,2022-01-04,32,Regular
CUST_00237,2023-08-29,23,Budget
CUST_00238,2023-07-28,20,Budget
CUST_00239,2023-12-16,44,Premium
CUST_00240,2022-10-27,66,Regular
CUST_00241,2022-04-28,19,Budget
CUST_00242,2022-08-13,41,Regular
CUST_00243,2023-07-13,33,Regular
CUST_00244,2022-11-16,35,Regular
CUST_00245,2022-05-19,23,Budget
CUST_00246,2022-09-16,42,Premium
CUST_00247,2022-01-10,19,Budget
CUST_00248,2022-06-21,31,Regular
CUST_00249,2023-10-04,25,Budget
CUST_00250,2023-09-05,24,Budget
CUST_00251,2023-07-04,18,Budget
CUST_00252,2022-04-05,51,Regular
CUST_00253,2023-01-11,43,Premium
CUST_00254,2023-08-11,63,Premium
CUST_00255,2022-10-23,22,Regular
CUST_00256,2022-08-17,50,Regular
CUST_00257,2022-10-18,23,Budget
CUST_00258,2023-01-14,22,Budget
CUST_00259,2023-08-24,25,Regular
CUST_00260,2023-02-06,54,Premium
CUST_00261,2023-11-22,43,Premium
CUST_00262,2022-01-23,54,Regular
CUST_00263,2023-10-27,54,Regular
CUST_00264,2023-05-18,68,Regular
CUST_00265,2022-04-14,61,Regular
CUST_00266,2023-10-08,27,Regular
CUST_00267,2023-07-08,29,Regular
CUST_00268,2023-09-15,24,Budget
CUST_00269,2022-08-19,51,Regular
CUST_00270,2023-07-04,50,Regular
CUST_00271,2023-02-15,58,Regular
CUST_00272,2023-08-21,25,Regular
CUST_00273,2023-09-27,26,Regular
CUST_00274,2022-06-08,59,Regular
CUST_00275,2022-08-04,66,Regular
CUST_00276,2022-06-06,36,Regular
CUST_00277,2022-02-16,50,Regular
CUST_00278,2022-05-10,66,Regular
CUST_00279,2022-10-19,20,Budget
CUST_00280,2022-03-10,48,Regular
CUST_00281,2023-07-04,39,Premium
CUST_00282,2022-12-12,24,Budget
CUST_00283,2022-08-06,41,Premium
CUST_00284,2023-09-15,39,Regular
CUST_00285,2023-04-05,64,Regular
CUST_00286,2022-11-20,25,Budget
CUST_00287,2022-05-07,58,Regular
CUST_00288,2023-01-13,21,Budget
CUST_00289,2022-01-29,20,Budget
CUST_00290,2023-12-27,18,Budget
CUST_00291,2023-09-05,30,Premium
CUST_00292,2022-01-01,52,Premium
CUST_00293,2023-10-23,44,Premium
CUST_00294,2022-07-21,30,Regular
CUST_00295,2023-07-29,55,Premium
CUST_00296,2022-03-16,47,Regular
CUST_00297,2022-07-29,36,Premium
CUST_00298,2023-06-13,48,Regular
CUST_00299,2022-06-28,65,Regular
CUST_00300,2022-06-29,18,Budget
CUST_00301,2022-06-10,45,Regular
CUST_00302,2023-10-24,64,Regular
CUST_00303,2023-04-14,19,Budget
CUST_00304,2022-03-25,38,Regular
CUST_00305,2023-09-22,41,Regular
CUST_00306,2022-05-21,36,Premium
CUST_00307,2022-11-14,40,Regular
CUST_00308,2022-11-01,22,Budget
CUST_00309,2022-05-24,23,Budget
CUST_00310,2023-08-13,39,Regular
CUST_00311,2023-05-17,23,Regular
CUST_00312,2023-11-09,51,Regular
CUST_00313,2022-09-21,25,Regular
CUST_00314,2023-04-03,32,Premium
CUST_00315,2023-01-15,63,Premium
CUST_00316,2022-06-27,57,Premium
CUST_00317,2022-11-09,37,Premium
CUST_00318,2023-03-19,25,Budget
CUST_00319,2022-02-23,29,Regular
CUST_00320,2023-08-02,58,Regular
CUST_00321,2022-09-21,57,Premium
CUST_00322,2022-03-29,25,Budget
CUST_00323,2023-05-06,67,Regular
CUST_00324,2022-01-07,50,Premium
CUST_00325,2022-05-31,54,Regular
CUST_00326,2023-07-02,48,Premium
CUST_00327,2023-05-29,39,Regular
CUST_00328,2023-06-07,34,Premium
CUST_00329,2023-12-08,19,Budget
CUST_00330,2023-06-16,33,Regular
CUST_00331,2022-09-13,59,Regular
CUST_00332,2022-02-22,55,Regular
CUST_00333,2023-05-21,21,Budget
CUST_00334,2023-08-16,45,Regular
CUST_00335,2022-05-08,52,Premium
CUST_00336,2022-04-25,19,Budget
CUST_00337,2023-07-06,30,Regular
CUST_00338,2022-12-25,46,Regular
CUST_00339,2022-08-23,23,Budget
CUST_00340,2023-03-18,47,Regular
CUST_00341,2023-12-28,63,Premium
CUST_00342,2022-05-26,27,Regular
CUST_00343,2022-12-22,63,Regular
CUST_00344,2022-01-17,55,Regular
CUST_00345,2023-01-13,59,Regular
CUST_00346,2022-12-08,63,Regular
CUST_00347,2022-10-14,18,Budget
CUST_00348,2022-09-25,63,Premium
CUST_00349,2023-11-16,28,Regular
CUST_00350,2023-04-21,50,Premium
CUST_00351,2023-07-30,67,Regular
CUST_00352,2023-12-06,64,Regular
CUST_00353,2023-01-06,21,Budget
CUST_00354,2022-10-23,22,Budget
CUST_00355,2022-04-23,57,Regular
CUST_00356,2022-08-15,61,Regular
CUST_00357,2023-02-10,53,Premium
CUST_00358,2023-07-02,54,Regular
CUST_00359,2022-09-01,40,Regular
CUST_00360,2023-05-22,23,Budget
CUST_00361,2022-07-20,55,Regular
CUST_00362,2023-12-14,30,Regular
CUST_00363,2022-08-05,22,Regular
CUST_00364,2022-02-11,61,Regular
CUST_00365,2022-05-11,56,Regular
CUST_00366,2022-06-21,21,Budget
CUST_00367,2023-06-08,63,Premium
CUST_00368,2022-01-17,65,Regular
CUST_00369,2022-11-14,41,Premium
CUST_00370,2023-10-23,48,Premium
CUST_00371,2023-01-09,58,Regular
CUST_00372,2023-06-21,29,Regular
CUST_00373,2023-10-17,41,Premium
CUST_00374,2023-06-22,62,Regular
CUST_00375,2022-01-16,19,Budget
CUST_00376,2022-03-27,52,Premium
CUST_00377,2022-12-01,43,Premium
CUST_00378,2023-11-19,30,Regular
CUST_00379,2023-12-28,20,Budget
CUST_00380,2023-01-07,52,Regular
CUST_00381,2023-03-19,47,Premium
CUST_00382,2023-06-10,46,Premium
CUST_00383,2023-09-12,56,Regular
CUST_00384,2022-05-11,19,Budget
CUST_00385,2022-07-02,61,Regular
CUST_00386,2023-06-11,60,Regular
CUST_00387,2022-12-15,33,Premium
CUST_00388,2023-12-23,34,Regular
CUST_00389,2023-03-02,66,Regular
CUST_00390,2022-11-07,31,Premium
CUST_00391,2023-02-18,55,Regular
CUST_00392,2022-05-21,22,Budget
CUST_00393,2022-02-08,53,Regular
CUST_00394,2023-04-22,22,Budget
CUST_00395,2023-11-28,21,Budget
CUST_00396,2022-08-27,65,Regular
CUST_00397,2022-12-25,51,Regular
CUST_00398,2023-11-20,22,Regular
CUST_00399,2023-01-11,23,Budget
CUST_00400,2022-05-26,21,Budget
CUST_00401,2023-03-08,18,Budget
CUST_00402,2023-08-08,23,Budget
CUST_00403,2022-12-10,18,Budget
CUST_00404,2022-03-02,20,Budget
CUST_00405,2023-12-11,21,Budget
CUST_00406,2022-01-11,53,Premium
CUST_00407,2022-06-02,63,Premium
CUST_00408,2023-07-25,25,Regular
CUST_00409,2023-07-29,50,Regular
CUST_00410,2023-05-08,20,Budget
CUST_00411,2022-08-14,20,Budget
CUST_00412,2023-05-21,62,Regular
CUST_00413,2023-06-01,27,Regular
CUST_00414,2023-12-28,24,Budget
CUST_00415,2022-01-20,64,Premium
CUST_00416,2023-11-21,64,Premium
CUST_00417,2022-08-04,38,Regular
CUST_00418,2022-04-30,64,Premium
CUST_00419,2022-11-25,46,Regular
CUST_00420,2022-09-24,63,Premium
CUST_00421,2023-09-27,32,Premium
CUST_00422,2022-07-14,18,Budget
CUST_00423,2022-06-19,41,Premium
CUST_00424,2022-09-18,54,Premium
CUST_00425,2022-05-04,55,Regular
CUST_00426,2022-09-08,29,Regular
CUST_00427,2023-03-30,47,Regular
CUST_00428,2023-08-16,42,Premium
CUST_00429,2022-08-12,22,Budget
CUST_00430,2023-07-22,24,Regular
CUST_00431,2022-10-16,61,Regular
CUST_00432,2022-12-02,48,Premium
CUST_00433,2023-07-25,54,Regular
CUST_00434,2022-12-29,42,Premium
CUST_00435,2022-06-19,22,Budget
CUST_00436,2023-02-26,20,Budget
CUST_00437,2023-07-11,22,Budget
CUST_00438,2023-06-19,60,Premium
CUST_00439,2022-12-29,25,Budget
CUST_00440,2022-03-23,24,Budget
CUST_00441,2023-08-12,43,Premium
CUST_00442,2022-08-12,60,Regular
CUST_00443,2022-04-23,20,Budget
CUST_00444,2022-08-11,61,Regular
CUST_00445,2022-12-31,45,Regular
CUST_00446,2023-04-12,27,Regular
CUST_00447,2022-08-21,31,Regular
CUST_00448,2023-07-26,57,Premium
CUST_00449,2022-10-05,22,Budget
CUST_00450,2023-04-29,61,Premium
CUST_00451,2022-07-11,20,Budget
CUST_00452,2023-02-05,43,Regular
CUST_00453,2022-01-22,22,Regular
CUST_00454,2022-11-02,39,Regular
CUST_00455,2023-12-17,58,Premium
CUST_00456,2023-01-16,56,Regular
CUST_00457,2022-02-02,50,Regular
CUST_00458,2023-04-04,36,Regular
CUST_00459,2023-04-27,47,Regular
CUST_00460,2023-05-31,22,Budget
CUST_00461,2023-05-04,34,Regular
CUST_00462,2022-06-06,24,Budget
CUST_00463,2022-05-10,25,Budget
CUST_00464,2022-01-22,41,Regular
CUST_00465,2023-01-17,20,Budget
CUST_00466,2022-01-21,21,Budget
CUST_00467,2023-10-21,49,Premium
CUST_00468,2023-05-22,20,Budget
CUST_00469,2023-06-11,59,Regular
CUST_00470,2023-06-08,56,Regular
CUST_00471,2022-07-27,65,Regular
CUST_00472,2023-10-19,67,Regular
CUST_00473,2023-08-14,25,Budget
CUST_00474,2023-01-22,28,Regular
CUST_00475,2023-11-24,65,Regular
CUST_00476,2023-07-12,32,Premium
CUST_00477,2022-07-25,51,Regular
CUST_00478,2023-06-05,65,Regular
CUST_00479,2023-12-27,18,Budget
CUST_00480,2022-12-10,23,Regular
CUST_00481,2023-12-22,34,Regular
CUST_00482,2022-11-16,19,Budget
CUST_00483,2023-08-30,68,Regular
CUST_00484,2022-10-28,32,Regular
CUST_00485,2023-03-01,59,Regular
CUST_00486,2023-11-22,23,Budget
CUST_00487,2023-08-11,18,Budget
CUST_00488,2023-04-08,61,Premium
CUST_00489,2022-04-02,43,Regular
CUST_00490,2022-08-30,31,Regular
CUST_00491,2022-08-13,23,Regular
CUST_00492,2023-08-12,22,Budget
CUST_00493,2022-04-13,23,Budget
CUST_00494,2022-03-31,24,Budget
CUST_00495,2022-04-16,36,Regular
CUST_00496,2022-11-13,18,Budget
CUST_00497,2022-01-09,27,Regular
CUST_00498,2023-02-20,60,Premium
CUST_00499,2022-09-21,21,Budget
CUST_00500,2022-11-14,57,Premium
CUST_00501,2022-09-08,68,Regular
CUST_00502,2022-03-25,32,Regular
CUST_00503,2022-11-10,27,Regular
CUST_00504,2022-05-07,24,Regular
CUST_00505,2022-01-14,63,Regular
CUST_00506,2022-01-12,23,Budget
CUST_00507,2023-06-21,22,Budget
CUST_00508,2023-07-21,48,Premium
CUST_00509,2023-09-23,66,Regular
CUST_00510,2022-11-03,53,Regular
CUST_00511,2023-12-24,23,Budget
CUST_00512,2022-11-08,25,Budget
CUST_00513,2023-12-15,32,Premium
CUST_00514,2022-07-26,50,Regular
CUST_00515,2023-12-26,21,Budget
CUST_00516,2023-02-08,45,Regular
CUST_00517,2022-12-30,49,Regular
CUST_00518,2023-07-16,45,Regular
CUST_00519,2023-09-09,61,Premium
CUST_00520,2023-05-27,55,Regular
CUST_00521,2023-02-22,36,Regular
CUST_00522,2023-01-06,60,Regular
CUST_00523,2022-09-25,22,Budget
CUST_00524,2023-07-06,39,Regular
CUST_00525,2023-06-04,62,Premium
CUST_00526,2023-08-22,51,Regular
CUST_00527,2022-11-30,35,Regular
CUST_00528,2023-07-07,58,Regular
CUST_00529,2023-01-16,21,Budget
CUST_00530,2022-03-25,60,Regular
CUST_00531,2022-05-25,27,Regular
CUST_00532,2022-03-07,49,Regular
CUST_00533,2023-03-25,34,Premium
CUST_00534,2022-10-28,57,Regular
CUST_00535,2023-01-30,24,Budget
CUST_00536,2023-08-15,43,Premium
CUST_00537,2022-12-27,31,Regular
CUST_00538,2023-11-14,41,Regular
CUST_00539,2022-10-11,49,Premium
CUST_00540,2023-11-18,22,Budget
CUST_00541,2022-11-01,58,Regular
CUST_00542,2023-01-02,57,Premium
CUST_00543,2022-11-30,49,Premium
CUST_00544,2022-10-20,24,Budget
CUST_00545,2022-01-01,58,Premium
CUST_00546,2023-04-30,23,Budget
CUST_00547,2022-06-10,34,Premium
CUST_00548,2022-01-12,35,Regular
CUST_00549,2022-08-30,22,Budget
CUST_00550,2022-08-05,63,Premium
CUST_00551,2022-08-11,60,Regular
CUST_00552,2022-06-27,20,Budget
CUST_00553,2022-05-31,59,Regular
CUST_00554,2022-11-04,22,Budget
CUST_00555,2023-01-10,63,Regular
CUST_00556,2022-05-09,22,Budget
CUST_00557,2022-12-18,50,Regular
CUST_00558,2022-03-27,24,Budget
CUST_00559,2022-11-07,18,Budget
CUST_00560,2023-02-18,39,Premium
CUST_00561,2023-06-22,38,Regular
CUST_00562,2022-12-11,41,Premium
CUST_00563,2022-01-01,54,Regular
CUST_00564,2023-10-16,25,Budget
CUST_00565,2022-12-27,26,Regular
CUST_00566,2023-12-05,21,Budget
CUST_00567,2022-06-10,18,Budget
CUST_00568,2023-08-08,69,Regular
CUST_00569,2023-05-04,24,Budget
CUST_00570,2023-01-16,19,Budget
CUST_00571,2023-09-06,25,Regular
CUST_00572,2023-08-17,55,Regular
CUST_00573,2022-12-31,52,Premium
CUST_00574,2023-03-31,53,Premium
CUST_00575,2022-03-06,24,Budget
CUST_00576,2022-05-23,28,Regular
CUST_00577,2023-04-18,50,Regular
CUST_00578,2023-05-12,53,Regular
CUST_00579,2022-09-24,59,Regular
CUST_00580,2022-01-03,67,Regular
CUST_00581,2023-03-26,29,Regular
CUST_00582,2022-06-03,50,Regular
CUST_00583,2022-10-31,22,Budget
CUST_00584,2022-02-12,65,Regular
CUST_00585,2023-05-13,27,Regular
CUST_00586,2022-01-21,64,Regular
CUST_00587,2022-12-02,24,Budget
CUST_00588,2023-12-16,36,Regular
CUST_00589,2022-05-21,25,Regular
CUST_00590,2022-11-30,55,Regular
CUST_00591,2023-01-08,69,Regular
CUST_00592,2023-10-31,20,Budget
CUST_00593,2023-10-10,64,Premium
CUST_00594,2023-11-01,57,Regular
CUST_00595,2023-10-06,34,Regular
CUST_00596,2023-04-04,59,Premium
CUST_00597,2023-08-09,21,Budget
CUST_00598,2023-08-06,52,Regular
CUST_00599,2023-03-21,18,Budget
CUST_00600,2022-03-25,21,Budget
CUST_00601,2023-01-20,28,Regular
CUST_00602,2022-12-28,66,Regular
CUST_00603,2022-04-28,22,Budget
CUST_00604,2022-01-26,49,Regular
CUST_00605,2023-01-13,19,Budget
CUST_00606,2023-08-07,63,Regular
CUST_00607,2022-10-20,47,Regular
CUST_00608,2023-06-15,45,Regular
CUST_00609,2022-05-26,39,Premium
CUST_00610,2023-03-15,31,Regular
CUST_00611,2023-07-15,68,Regular
CUST_00612,2023-11-04,55,Regular
CUST_00613,2023-10-24,18,Budget
CUST_00614,2023-02-23,24,Budget
CUST_00615,2023-06-07,53,Regular
CUST_00616,2022-03-18,23,Budget
CUST_00617,2022-11-16,46,Regular
CUST_00618,2023-10-20,22,Budget
CUST_00619,2023-04-04,60,Regular
CUST_00620,2023-08-03,48,Premium
CUST_00621,2022-10-15,63,Regular
CUST_00622,2022-02-05,23,Budget
CUST_00623,2023-11-07,18,Budget
CUST_00624,2022-12-19,25,Budget
CUST_00625,2023-12-09,18,Budget
CUST_00626,2023-06-01,23,Regular
CUST_00627,2022-05-29,25,Budget
CUST_00628,2023-07-16,25,Budget
CUST_00629,2023-01-16,65,Regular
CUST_00630,2022-05-10,43,Regular
CUST_00631,2023-09-06,31,Premium
CUST_00632,2023-04-16,55,Regular
CUST_00633,2023-10-24,29,Regular
CUST_00634,2023-03-29,57,Regular
CUST_00635,2022-10-30,24,Budget
CUST_00636,2023-09-10,25,Budget
CUST_00637,2022-02-24,18,Budget
CUST_00638,2023-02-04,38,Regular
CUST_00639,2023-05-30,41,Regular
CUST_00640,2022-12-14,52,Premium
CUST_00641,2022-09-05,34,Premium
CUST_00642,2022-05-29,51,Regular
CUST_00643,2023-04-01,23,Budget
CUST_00644,2023-04-05,54,Regular
CUST_00645,2023-05-24,55,Regular
CUST_00646,2023-10-25,18,Budget
CUST_00647,2022-12-27,19,Budget
CUST_00648,2023-03-25,20,Budget
CUST_00649,2023-10-28,44,Regular
CUST_00650,2023-02-23,27,Regular
CUST_00651,2022-12-08,36,Regular
CUST_00652,2022-01-12,63,Regular
CUST_00653,2023-03-05,47,Premium
CUST_00654,2023-11-01,45,Regular
CUST_00655,2022-01-07,24,Regular
CUST_00656,2023-02-03,30,Regular
CUST_00657,2022-05-10,23,Regular
CUST_00658,2022-09-23,23,Budget
CUST_00659,2022-09-10,54,Premium
CUST_00660,2022-04-20,60,Premium
CUST_00661,2023-04-28,32,Premium
CUST_00662,2023-10-15,46,Regular
CUST_00663,2023-06-21,29,Regular
CUST_00664,2022-01-12,22,Budget
CUST_00665,2022-04-02,61,Premium
CUST_00666,2023-06-16,35,Regular
CUST_00667,2023-11-03,27,Regular
CUST_00668,2022-05-10,23,Budget
CUST_00669,2022-10-14,40,Regular
CUST_00670,2022-12-11,20,Budget
CUST_00671,2023-11-21,20,Budget
CUST_00672,2023-04-08,25,Budget
CUST_00673,2022-04-09,48,Premium
CUST_00674,2022-07-09,21,Budget
CUST_00675,2022-03-21,24,Budget
CUST_00676,2022-09-17,54,Regular
CUST_00677,2022-04-11,61,Regular
CUST_00678,2023-02-24,50,Regular
CUST_00679,2023-11-21,60,Regular
CUST_00680,2023-12-04,21,Budget
CUST_00681,2023-06-03,56,Regular
CUST_00682,2023-06-10,43,Regular
CUST_00683,2023-08-21,22,Budget
CUST_00684,2023-07-28,31,Premium
CUST_00685,2023-08-14,59,Regular
CUST_00686,2023-02-27,44,Regular
CUST_00687,2022-08-01,34,Regular
CUST_00688,2023-11-24,50,Premium
CUST_00689,2022-06-13,61,Premium
CUST_00690,2023-12-04,32,Regular
CUST_00691,2023-05-25,47,Regular
CUST_00692,2023-09-16,21,Budget
CUST_00693,2022-08-15,61,Regular
CUST_00694,2023-02-26,50,Regular
CUST_00695,2023-02-01,63,Regular
CUST_00696,2022-01-17,25,Budget
CUST_00697,2022-05-09,62,Regular
CUST_00698,2022-04-07,58,Premium
